Business name,Role,Full name,Email,Password,Branch,Notes
LoyaltyBase,System Admin,LoyaltyBase QA System Administrator,admin@loyaltybase.test,Test@12345,-,Can see all QA businesses.
Emirates Coffee House,Business Owner,Emirates Coffee House Owner,owner@emiratescoffee.test,Test@12345,Downtown Coffee Bar,Owner can see only this business.
Emirates Coffee House,Branch Manager,Emirates Coffee House Branch Manager,manager@emiratescoffee.test,Test@12345,Downtown Coffee Bar,Branch-scoped manager.
Emirates Coffee House,Staff,Emirates Coffee House Staff 1,staff1@emiratescoffee.test,Test@12345,Downtown Coffee Bar,Branch-scoped staff account.
Emirates Coffee House,Staff,Emirates Coffee House Staff 2,staff2@emiratescoffee.test,Test@12345,Downtown Coffee Bar,Branch-scoped staff account.
Emirates Coffee House,Staff,Emirates Coffee House Staff 3,staff3@emiratescoffee.test,Test@12345,Downtown Coffee Bar,Branch-scoped staff account.
Emirates Coffee House,Staff,Emirates Coffee House Staff 4,staff4@emiratescoffee.test,Test@12345,Downtown Coffee Bar,Branch-scoped staff account.
Royal Barbers,Business Owner,Royal Barbers Owner,owner@royalbarbers.test,Test@12345,Royal Barbers Main,Owner can see only this business.
Royal Barbers,Branch Manager,Royal Barbers Branch Manager,manager@royalbarbers.test,Test@12345,Royal Barbers Main,Branch-scoped manager.
Royal Barbers,Staff,Royal Barbers Staff 1,staff1@royalbarbers.test,Test@12345,Royal Barbers Main,Branch-scoped staff account.
Royal Barbers,Staff,Royal Barbers Staff 2,staff2@royalbarbers.test,Test@12345,Royal Barbers Main,Branch-scoped staff account.
Royal Barbers,Staff,Royal Barbers Staff 3,staff3@royalbarbers.test,Test@12345,Royal Barbers Main,Branch-scoped staff account.
Royal Barbers,Staff,Royal Barbers Staff 4,staff4@royalbarbers.test,Test@12345,Royal Barbers Main,Branch-scoped staff account.
Glow Beauty Lounge,Business Owner,Glow Beauty Lounge Owner,owner@glowbeauty.test,Test@12345,Glow Beauty Main,Owner can see only this business.
Glow Beauty Lounge,Branch Manager,Glow Beauty Lounge Branch Manager,manager@glowbeauty.test,Test@12345,Glow Beauty Main,Branch-scoped manager.
Glow Beauty Lounge,Staff,Glow Beauty Lounge Staff 1,staff1@glowbeauty.test,Test@12345,Glow Beauty Main,Branch-scoped staff account.
